2012-10-04	 	2012-10-04	 	Överf Mobil	 	200,00	 	774,05
2012-10-01	 	2012-09-28	 	COOP KONSUM BE	 	-65,00	 	574,05
2012-10-01	 	2012-09-29	 	COOP NARA KRIS	 	-28,10	 	639,05
2012-10-01	 	2012-09-30	 	MELLQVIST KAFF	 	-90,00	 	667,15
2012-10-01	 	2012-09-29	 	1107 KONTANTEN	 	-200,00	 	757,15
2012-10-01	 	2012-09-29	 	MELLQVIST KAFF	 	-90,00	 	957,15
2012-10-01	 	2012-09-28	 	BULLENS CAFE	 	-60,00	 	1 047,15
2012-10-01	 	2012-10-01	 	Överf Mobil	 	-1 958,00	 	1 107,15
2012-10-01	 	2012-10-01	 	IKANO BANK	 	-100,00	 	3 065,15
2012-09-28	 	2012-09-28	 	BANKOMAT 23.04	 	-100,00	 	3 165,15
2012-09-28	 	2012-09-26	 	COOP NARA KRIS	 	-86,20	 	3 265,15
2012-09-28	 	2012-09-27	 	JARNVAGSCAFEET	 	-65,00	 	3 351,35
2012-09-28	 	2012-09-28	 	TELE2 SVERIGE	 	-188,00	 	3 416,35
2012-09-28	 	2012-09-28	 	Stående överf	 	1 000,00	 	3 604,35
2012-09-27	 	2012-09-25	 	COOP KONSUM BE	 	-66,92	 	2 604,35
2012-09-26	 	2012-09-26	 	MIN 9.54 450	 	-200,00	 	2 671,27
2012-09-25	 	2012-09-24	 	HEMKOP LUCULLU	 	-52,02	 	2 871,27
2012-09-25	 	2012-09-25	 	Överf Mobil	 	-10 000,00	 	2 923,29
2012-09-25	 	2012-09-21	 	LÖN	 	9 587,00	 	12 923,29
2012-09-24	 	2012-09-22	 	COOP NARA KRIS	 	-74,80	 	3 336,29
2012-09-24	 	2012-09-21	 	1815 KONTANTEN	 	-100,00	 	3 411,09
2012-09-24	 	2012-09-21	 	TACO BAR	 	-56,00	 	3 511,09
2012-09-24	 	2012-09-23	 	RESTAURANG SAN	 	-135,00	 	3 567,09
2012-09-21	 	2012-09-21	 	BANKOMAT 23.02	 	-100,00	 	3 702,09
2012-09-21	 	2012-09-20	 	1107 KONTANTEN	 	-200,00	 	3 802,09
2012-09-21	 	2012-09-20	 	CAFE CIOCCOLAT	 	-74,00	 	4 002,09
2012-09-21	 	2012-09-19	 	COOP KONSUM BE	 	-35,40	 	4 076,09
2012-09-20	 	2012-09-18	 	NYBERGS KONDIT	 	-39,00	 	4 111,49
2012-09-20	 	2012-09-19	 	TEKNISKA HOGSK	 	-15,00	 	4 150,49
2012-09-19	 	2012-09-18	 	T SNABBEN	 	-36,95	 	4 165,49
2012-09-18	 	2012-09-18	 	Överf Mobil	 	-458,00	 	4 202,44
2012-09-18	 	2012-09-18	 	Överf Mobil	 	-1 000,00	 	4 660,44
2012-09-18	 	2012-09-18	 	 	 	4 155,17	 	5 660,44
2012-09-18	 	2012-09-17	 	00091702944735	 	1 500,00	 	1 505,27
2012-09-17	 	2012-09-15	 	COOP KONSUM BE	 	-41,15	 	5,27
